artist,title,source,confidence
AC-DC,For Those About To Rock,operator_verified,1.0
Tom Petty,American Girl,operator_verified,1.0
Brad Paisley,"With you, Without you",operator_verified,1.0
Brad Paisley,Policeman,operator_verified,1.0
Snoop Dogg ft. Pharrell,Drop It Like Its Hot by,operator_verified,1.0
Edine,24-7,operator_verified,1.0
Gonzalez,Haven't Stopped Dancing Yet,operator_verified,1.0
Hard,Kief Brown,operator_verified,1.0
Ice-T,6 N the Mornin,operator_verified,1.0
Ice-T,Im Your Pusher,operator_verified,1.0
Blake Shelton,Im Sorry,operator_verified,1.0
Johnny Copeland,Flying High,operator_verified,1.0
Kelsie Kimberlin,Road Trip,operator_verified,1.0
Kenney Chesney,Living in Paradise,operator_verified,1.0
Leoncavallo Pagliacciï,Vesti La Giubba,operator_verified,1.0
Luciano Pavarottiï,Celeste Aida,operator_verified,1.0
Metallica,Enter Sandman,operator_verified,1.0
Metallica,One,operator_verified,1.0
Mickey Newbury,After All These Years,operator_verified,1.0
Miranda Lambert,Lyin Here,operator_verified,1.0
Mozart  Don  Giovanni,527 Act 1,operator_verified,1.0
Tim Mcgraw,My Best Friend,operator_verified,1.0
Paul Damixie,Hypnotised,operator_verified,1.0
Smiley,Days of Summer,operator_verified,1.0
Smiley,Let Me Go,operator_verified,1.0
Smiley,Tomorrow,operator_verified,1.0
Stormy Weather,Beneath Velvet Skies,operator_verified,1.0
The Commodores,Brick House,operator_verified,1.0
Travesuras,Nicky Jam,operator_verified,1.0
Twenty One Pilots,Heathens,operator_verified,1.0
Twenty One Pilots,Stressed Out,operator_verified,1.0
Verdi,Rigoletto,operator_verified,1.0
Geto Boys,Mind Playing Tricks on Me,operator_verified,1.0
