original_path,block_reason,category,fixable,recommended_action
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: black sabbath - sweet leaf (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: Dio - The Last In Line (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: Dr Dre - Nuthin But A ＂G＂ Thang (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: Hank Williams Jr - Simple Man (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].temp.mp3,source_missing,source_missing,no,Source file missing; verify Phase 6 rename log
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: Slayer - Hell Awaits (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: UFO - Doctor Doctor (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: Denim and Leather-Saxon (studio version) (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: Kiss Deuce lyrics (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.temp.mp3,source_missing,source_missing,yes,Update path reference to renamed file: sonny boy williamson help me (Alt 1).mp3
